; note: "r" character is apparently interpreted as line break. Nothing smarter than always replacing it with "R" did not come to my mind yet. Unicode characters don't compile it seems

; QuestMapParamAccessor@GetDesc
s[4170] = "Advance"

; SaveObjectView@OnButtonBaseClick
s[3521] = "Load this save？"

; BattleBonus@Caption::get
s[3881] = "Unit EXP Increase"
s[3882] = "Outcome: Victory"
s[3883] = "Outcome: Won in 3 Rounds"
s[3884] = "Own Army HP Below 10%"
s[3885] = "Outcome: Won in 1 Round"
s[3886] = "Unit Treasure Find Rate"
s[3887] = "Target: Boss"
s[3888] = "Overkill"
s[3889] = "First Finisher by %s"
s[3890] = "First Finisher"
s[3891] = "Cumulative Failure Bonus"

; SceneQuestMapGetCardDialog@LoadActivity
s[2826] = "Card Acquired"
s[2827] = "You obtained the card [%s]"

; SceneReplayMemoDialog@<lambda : SceneReplayMemoDialog@<lambda : SceneReplayMemoDialog@0(ref SceneStack, string)(18, 54)>(string, int, string, string)(31, 44)>
s[2572] = "You obtained the encyclopedia entry [%s]。\nWould you like to check it now？"

; QuestMapSystemEventDispatcher::Run
s[4104] = "Recovery Point"
s[4105] = "HP/Skills|Refill|Yay"


; ０２／コールドスリープ５万年後２
s[7467] = "Historian"
s[7466] = "Yakki Ikar"
s[7468] = "Soomeso Ikar"
s[7469] = "Tour Conductor"
s[7470] = "Messi Ikar"
s[7471] = "Irresponsible College Student A"
s[7472] = "Tempura Ikar"
s[7473] = "Irresponsible College Student B"
s[7476] = "Natu Ikar"
s[7477] = "Mischievous Child"

s[5158] = "Mysterious Voice"



; Battle Situation Calculation
s[14752] = "A demon aRmy numbeRing 900,000 attacked.r"
s[14753] = "Although ARlcoate and many officeRs weRe lost,r"
s[14754] = "the Leazas aRmy fought bRavely and held the line.r"
s[14755] = "600,000 demons invaded via Leazas.r"
s[14756] = "The FRee Cities, mainly meRcenaRies, weRe cRushed in the fiRst battle.r"
s[14757] = "Many meRcenaRies lost, including Viyan, annihilation was neaR.r"
s[14758] = "The demon aRmy invaded fRom the Kinani DeseRt fRont.r"
s[14759] = "Thanks to confusion, they bRoke thRough the BanuRa FoRtRess; GeneRal Bodou KIA.r"
s[14760] = "StRategist CReam fell into panic, and the chain of command is in chaos.r"
s[14761] = "A demon aRmy of one million invaded.r"
s[14762] = "The famed Maginot Line was bReached and even the capital fell.r"
s[14763] = "Defeats continue acRoss the land, total chaos Reigns.r"
s[14764] = "The holy land of the AL ChuRch, Kawanakajima, fell to demon invasion.r"
s[14765] = "A demon aRmy foRwaRd base was discoveRed in the Kinani DeseRt.r"
s[14766] = "The Demon Subjugation CoRps occupied it.r"
s[14767] = "The telepoRtation device was destRoyed - demon ReinfoRcements stopped.r"
s[14768] = "The human stRonghold CITY was stRuck by a massive demon assault.r"
s[14769] = "CITY and Rance Castle weRe occupied.r"
s[14770] = "Rance and company baRely escaped.r"
s[14771] = "The human stRonghold CITY was attacked and occupied by the demon aRmy.r"
s[14772] = "But using the Holy-Demon ORdeR’s Relic, Rance Castle Rose into the aiR.r"
s[14773] = "Rance and his paRty aRe alive.r"
s[14774] = "A massive demon aRmy cRossed Tenman BRidge and invaded.r"
s[14775] = "JAPAN was conqueRed.r"
s[14776] = "No divine wind blew.r"
s[14777] = "All of Leazas has been RecaptuRed.r"
s[14778] = "The main foRce"
s[14779] = "moves to Regions still at waR.r"
s[14781] = "5000 volunteeRs have gatheRed...r"
